"play","step","Systems / 205","Neuroptics / 207","Circuits / 209","Runs / 228"
"76","19","2","7","673","19"
"76","20","2","8","703","20"
"77","0","0","0","0","0"
"77","1","0","0","46","1"
"77","2","0","0","95","2"
"77","3","0","1","125","3"
"77","4","0","1","156","4"
"77","5","0","1","191","5"
"77","6","0","1","226","6"
"77","7","1","1","266","7"
"77","8","2","1","304","8"
"77","9","2","1","340","9"
"77","10","2","2","382","10"
"77","11","2","3","421","11"
"77","12","3","3","464","12"
"77","13","4","3","500","13"
"77","14","5","3","533","14"
"77","15","5","3","573","15"
"77","16","6","3","592","16"
"77","17","6","3","626","17"
"77","18","6","3","666","18"
"77","19","7","3","693","19"
"77","20","8","3","729","20"
"78","0","0","0","0","0"
"78","1","0","1","31","1"
"78","2","1","1","81","2"
"78","3","2","1","118","3"
"78","4","3","1","156","4"
"78","5","4","1","189","5"
"78","6","4","2","233","6"
"78","7","4","2","271","7"
"78","8","5","2","293","8"
"78","9","5","3","327","9"
"78","10","6","3","364","10"
"78","11","6","3","400","11"
"78","12","6","4","437","12"
"78","13","6","5","468","13"
"78","14","6","5","516","14"
"78","15","7","5","544","15"
"78","16","7","6","572","16"
"78","17","7","7","603","17"
"78","18","7","8","628","18"
"78","19","7","8","670","19"
"78","20","7","9","702","20"
"79","0","0","0","0","0"
"79","1","0","1","42","1"
"79","2","1","1","96","2"
"79","3","2","1","131","3"
"79","4","2","2","159","4"
"79","5","2","2","206","5"
"79","6","3","2","239","6"
"79","7","4","2","269","7"
"79","8","4","3","294","8"
"79","9","4","3","324","9"
"79","10","5","3","363","10"
"79","11","5","4","400","11"
"79","12","5","4","436","12"
"79","13","6","4","475","13"
"79","14","7","4","508","14"
"79","15","7","4","561","15"
"79","16","7","5","586","16"
"79","17","7","6","611","17"
"79","18","7","6","635","18"
"79","19","7","6","677","19"
"79","20","7","6","706","20"
"80","0","0","0","0","0"
"80","1","0","0","30","1"
"80","2","1","0","61","2"
"80","3","1","0","96","3"
"80","4","1","0","125","4"
"80","5","1","0","155","5"
"80","6","1","1","206","6"
"80","7","1","2","240","7"
"80","8","1","3","283","8"
"80","9","2","3","307","9"
"80","10","3","3","346","10"
"80","11","3","4","380","11"
"80","12","3","5","422","12"
"80","13","3","5","459","13"
"80","14","3","5","505","14"
"80","15","3","5","543","15"
"80","16","4","5","580","16"
"80","17","4","5","626","17"
"80","18","4","5","658","18"
"80","19","4","5","691","19"
"80","20","4","6","719","20"
"81","0","0","0","0","0"
"81","1","1","0","35","1"
"81","2","2","0","88","2"
"81","3","3","0","121","3"
"81","4","3","0","168","4"
"81","5","3","0","199","5"
"81","6","4","0","240","6"
"81","7","4","1","273","7"
"81","8","5","1","326","8"
"81","9","5","1","374","9"
"81","10","5","2","411","10"
"81","11","5","3","451","11"
"81","12","5","4","499","12"
"81","13","6","4","544","13"
"81","14","6","4","587","14"
"81","15","6","4","608","15"
"81","16","6","4","642","16"
"81","17","6","4","668","17"
"81","18","6","4","713","18"
"82","0","0","0","0","0"
"82","1","0","1","17","1"
"82","2","1","1","56","2"
"82","3","1","1","103","3"
"82","4","2","1","132","4"
"82","5","2","2","155","5"
"82","6","2","2","190","6"
"82","7","2","2","237","7"
"82","8","2","3","292","8"
"82","9","2","4","329","9"
"82","10","2","5","363","10"
"82","11","2","6","408","11"
"82","12","2","6","453","12"
"82","13","2","6","478","13"
"82","14","3","6","521","14"
"82","15","3","7","560","15"
"82","16","3","7","592","16"
"82","17","3","7","622","17"
"82","18","4","7","657","18"
"82","19","4","7","695","19"
"82","20","4","7","734","20"
"83","0","0","0","0","0"
"83","1","0","1","29","1"
"83","2","1","1","71","2"
"83","3","1","1","116","3"
"83","4","1","2","166","4"
"83","5","1","3","198","5"
"83","6","1","4","238","6"
"83","7","2","4","273","7"
"83","8","3","4","302","8"
"83","9","3","4","336","9"
"83","10","3","4","376","10"
"83","11","3","5","422","11"
"83","12","3","6","443","12"
"83","13","3","7","470","13"
"83","14","4","7","509","14"
"83","15","4","8","552","15"
"83","16","4","9","590","16"
"83","17","4","9","623","17"
"83","18","4","9","655","18"
"83","19","5","9","692","19"
"83","20","5","9","729","20"
"84","0","0","0","0","0"
"84","1","0","1","31","1"
"84","2","0","1","67","2"
"84","3","0","1","112","3"
"84","4","0","1","148","4"
"84","5","0","1","189","5"
"84","6","0","1","234","6"
"84","7","0","1","256","7"
"84","8","0","2","297","8"
"84","9","0","2","333","9"
"84","10","1","2","372","10"
"84","11","2","2","409","11"
"84","12","3","2","435","12"
"84","13","3","2","475","13"
"84","14","3","2","508","14"
"84","15","3","2","558","15"
"84","16","3","3","596","16"
"84","17","3","4","625","17"
"84","18","4","4","674","18"
"84","19","4","5","715","19"
"85","0","0","0","0","0"
"85","1","0","0","33","1"
"85","2","0","1","69","2"
"85","3","0","2","101","3"
"85","4","0","2","132","4"
"85","5","0","2","156","5"
"85","6","0","3","188","6"
"85","7","1","3","232","7"
"85","8","1","4","259","8"
"85","9","1","4","299","9"
"85","10","1","5","334","10"
"85","11","1","6","361","11"
"85","12","1","7","412","12"
"85","13","1","8","451","13"
"85","14","1","9","499","14"
"85","15","1","9","535","15"
"85","16","1","10","561","16"
"85","17","1","10","602","17"
"85","18","1","10","638","18"
"85","19","1","11","679","19"
"85","20","1","12","713","20"
"86","0","0","0","0","0"
"86","1","0","0","42","1"
"86","2","1","0","90","2"
"86","3","1","0","135","3"
"86","4","1","1","171","4"
"86","5","1","2","203","5"
"86","6","2","2","255","6"
"86","7","3","2","285","7"
"86","8","3","2","323","8"
"86","9","4","2","364","9"
"86","10","5","2","394","10"
"86","11","6","2","430","11"
"86","12","6","3","460","12"
"86","13","7","3","496","13"
"86","14","8","3","525","14"
"86","15","8","4","558","15"
"86","16","8","4","603","16"
"86","17","8","4","654","17"
"86","18","8","5","697","18"
"86","19","8","5","722","19"
"87","0","0","0","0","0"
"87","1","0","1","31","1"
"87","2","0","1","71","2"
"87","3","1","1","101","3"
"87","4","1","2","118","4"
"87","5","2","2","163","5"
"87","6","2","2","196","6"
"87","7","2","3","228","7"
"87","8","2","3","251","8"
"87","9","3","3","280","9"
"87","10","3","4","323","10"
"87","11","4","4","369","11"
"87","12","4","5","404","12"
"87","13","4","5","439","13"
"87","14","4","6","488","14"
"87","15","4","6","518","15"
"87","16","4","7","546","16"
"87","17","4","7","574","17"
"87","18","4","7","598","18"
"87","19","4","8","644","19"
"87","20","4","9","663","20"
"87","21","5","9","695","21"
"87","22","5","9","716","22"
"88","0","0","0","0","0"
"88","1","0","1","26","1"
"88","2","1","1","60","2"
"88","3","1","2","92","3"
"88","4","1","3","131","4"
"88","5","2","3","166","5"
"88","6","2","3","192","6"
"88","7","3","3","220","7"
"88","8","4","3","256","8"
"88","9","4","4","285","9"
"88","10","5","4","329","10"
"88","11","6","4","367","11"
"88","12","6","5","411","12"
"88","13","6","5","444","13"
"88","14","6","6","481","14"
"88","15","6","6","504","15"
"88","16","6","6","540","16"
"88","17","6","6","567","17"
"88","18","7","6","594","18"
"88","19","7","6","623","19"
"88","20","7","6","659","20"
"88","21","7","7","704","21"
"89","0","0","0","0","0"
"89","1","1","0","40","1"
"89","2","1","1","70","2"
"89","3","1","2","112","3"
"89","4","1","2","149","4"
"89","5","1","2","187","5"
"89","6","1","3","220","6"
"89","7","2","3","258","7"
"89","8","3","3","294","8"
"89","9","3","3","330","9"
"89","10","3","4","365","10"
"89","11","3","4","388","11"
"89","12","3","5","442","12"
"89","13","4","5","492","13"
"89","14","4","5","517","14"
"89","15","4","6","556","15"
"89","16","5","6","588","16"
"89","17","6","6","623","17"
"89","18","7","6","661","18"
"89","19","8","6","692","19"
"89","20","8","7","743","20"
"90","0","0","0","0","0"
"90","1","0","1","49","1"
"90","2","1","1","68","2"
"90","3","1","2","110","3"
"90","4","1","3","160","4"
"90","5","1","4","194","5"
"90","6","2","4","229","6"
"90","7","2","5","271","7"
"90","8","2","5","315","8"
"90","9","2","6","352","9"
"90","10","2","7","403","10"
"90","11","2","7","442","11"
"90","12","2","8","485","12"
"90","13","2","9","532","13"
"90","14","2","9","564","14"
"90","15","2","9","607","15"
"90","16","2","9","653","16"
"90","17","2","9","690","17"
"90","18","3","9","729","18"
"91","0","0","0","0","0"
"91","1","1","0","20","1"
"91","2","1","1","55","2"
"91","3","1","2","93","3"
"91","4","1","2","116","4"
"91","5","1","2","160","5"
"91","6","1","2","204","6"
"91","7","1","2","233","7"
"91","8","1","3","272","8"
"91","9","1","4","316","9"
"91","10","1","4","359","10"
"91","11","1","4","377","11"
"91","12","1","5","428","12"
"91","13","1","6","470","13"
"91","14","2","6","504","14"
"91","15","2","7","539","15"
"91","16","2","7","568","16"
"91","17","2","8","606","17"
"91","18","3","8","643","18"
"91","19","4","8","675","19"
"91","20","4","8","712","20"
"92","0","0","0","0","0"
"92","1","0","1","31","1"
"92","2","1","1","81","2"
"92","3","1","2","118","3"
"92","4","1","3","165","4"
"92","5","2","3","207","5"
"92","6","2","3","237","6"
"92","7","2","4","264","7"
"92","8","3","4","289","8"
"92","9","3","5","322","9"
"92","10","4","5","357","10"
"92","11","4","6","382","11"
"92","12","4","7","415","12"
"92","13","4","7","446","13"
"92","14","4","7","489","14"
"92","15","5","7","527","15"
"92","16","6","7","568","16"
"92","17","6","7","600","17"
"92","18","7","7","634","18"
"92","19","7","7","673","19"
"92","20","8","7","717","20"
"93","0","0","0","0","0"
"93","1","0","1","53","1"
"93","2","0","2","81","2"
"93","3","0","2","124","3"
"93","4","0","3","143","4"
"93","5","0","4","185","5"
"93","6","0","4","220","6"
"93","7","1","4","262","7"
"93","8","1","4","308","8"
"93","9","2","4","341","9"
"93","10","2","4","383","10"
"93","11","2","5","418","11"
"93","12","2","5","448","12"
"93","13","2","5","483","13"
"93","14","2","6","530","14"
"93","15","3","6","569","15"
"93","16","3","7","614","16"
"93","17","3","8","664","17"
"93","18","3","8","701","18"
"94","0","0","0","0","0"
"94","1","0","1","40","1"
"94","2","0","2","75","2"
"94","3","1","2","112","3"
"94","4","1","2","157","4"
"94","5","1","2","190","5"
"94","6","1","2","220","6"
"94","7","1","3","266","7"
"94","8","1","3","300","8"
"94","9","2","3","328","9"
"94","10","2","3","362","10"
"94","11","2","3","403","11"
"94","12","2","3","427","12"
"94","13","2","3","454","13"
"94","14","2","3","485","14"
"94","15","2","4","513","15"
"94","16","2","4","554","16"
"94","17","2","5","602","17"
"94","18","2","5","632","18"
"94","19","2","5","662","19"
"94","20","2","6","689","20"
