"play","step","Systems / 205","Neuroptics / 207","Circuits / 209","Runs / 228"
"151","2","1","1","215","2"
"151","3","2","1","336","3"
"151","4","2","2","449","4"
"151","5","2","3","564","5"
"151","6","3","3","656","6"
"151","7","4","3","745","7"
"151","8","5","3","855","8"
"151","9","6","3","970","9"
"151","10","6","4","1067","10"
"151","11","6","4","1157","11"
"152","0","0","0","0","0"
"152","1","0","0","85","1"
"152","2","0","1","219","2"
"152","3","0","1","353","3"
"152","4","0","1","451","4"
"152","5","0","1","544","5"
"152","6","0","1","664","6"
"152","7","0","1","761","7"
"152","8","0","2","817","8"
"152","9","0","3","930","9"
"152","10","0","3","1024","10"
"152","11","0","4","1110","11"
"152","12","0","4","1186","12"
"152","13","0","4","1301","13"
"152","14","0","5","1413","14"
"152","15","1","5","1501","15"
"153","0","0","0","0","0"
"153","1","0","0","114","1"
"153","2","1","0","266","2"
"153","3","1","0","391","3"
"153","4","1","1","498","4"
"153","5","1","1","583","5"
"153","6","1","1","665","6"
"153","7","1","2","772","7"
"154","0","0","0","0","0"
"154","1","0","0","86","1"
"154","2","1","0","150","2"
"154","3","1","0","249","3"
"154","4","1","1","355","4"
"154","5","1","1","482","5"
"154","6","1","1","574","6"
"154","7","1","1","688","7"
"154","8","1","1","808","8"
"155","0","0","0","0","0"
"155","1","0","0","105","1"
"155","2","1","0","233","2"
"155","3","1","1","328","3"
"155","4","1","1","415","4"
"155","5","1","1","528","5"
"155","6","1","1","612","6"
"155","7","1","2","693","7"
"155","8","1","3","834","8"
