"play","step","Systems / 205","Neuroptics / 207","Circuits / 209","Runs / 228"
"112","7","1","3","504","7"
"112","8","1","3","614","8"
"112","9","1","4","716","9"
"113","0","0","0","0","0"
"113","1","0","1","84","1"
"113","2","0","1","144","2"
"113","3","0","1","189","3"
"113","4","0","2","287","4"
"113","5","0","2","363","5"
"113","6","0","2","406","6"
"113","7","1","2","485","7"
"113","8","1","3","534","8"
"113","9","1","4","620","9"
"113","10","1","5","691","10"
"113","11","1","6","760","11"
"114","0","0","0","0","0"
"114","1","0","1","48","1"
"114","2","0","2","115","2"
"114","3","0","2","199","3"
"114","4","0","2","280","4"
"114","5","1","2","378","5"
"114","6","1","3","429","6"
"114","7","1","3","493","7"
"114","8","2","3","585","8"
"114","9","3","3","686","9"
"114","10","4","3","779","10"
"115","0","0","0","0","0"
"115","1","0","1","61","1"
"115","2","0","2","112","2"
"115","3","1","2","170","3"
"115","4","1","2","262","4"
"115","5","1","3","323","5"
"115","6","1","3","379","6"
"115","7","2","3","460","7"
"115","8","3","3","564","8"
"115","9","3","3","637","9"
"115","10","3","3","721","10"
"116","0","0","0","0","0"
"116","1","0","0","73","1"
"116","2","1","0","113","2"
"116","3","1","0","171","3"
"116","4","1","1","249","4"
"116","5","1","2","320","5"
"116","6","2","2","377","6"
"116","7","3","2","448","7"
"116","8","3","2","498","8"
"116","9","3","2","562","9"
"116","10","3","2","611","10"
"116","11","3","3","685","11"
"116","12","3","4","751","12"
"117","0","0","0","0","0"
"117","1","0","0","65","1"
"117","2","0","1","126","2"
"117","3","0","2","200","3"
"117","4","1","2","262","4"
"117","5","1","3","325","5"
"117","6","1","3","387","6"
"117","7","1","3","442","7"
"117","8","2","3","497","8"
"117","9","2","4","546","9"
"117","10","2","4","622","10"
"117","11","2","4","675","11"
"117","12","2","5","755","12"
"118","0","0","0","0","0"
"118","1","1","0","70","1"
"118","2","1","0","165","2"
"118","3","1","0","226","3"
"118","4","2","0","324","4"
"118","5","2","1","409","5"
"118","6","3","1","471","6"
"118","7","3","2","513","7"
"118","8","4","2","615","8"
"118","9","4","2","670","9"
"118","10","4","2","751","10"
"119","0","0","0","0","0"
"119","1","0","0","32","1"
"119","2","0","1","91","2"
"119","3","0","1","176","3"
"119","4","0","1","226","4"
"119","5","0","2","278","5"
"119","6","0","2","335","6"
"119","7","0","2","387","7"
"119","8","0","2","449","8"
"119","9","0","2","535","9"
"119","10","0","3","591","10"
"119","11","0","3","666","11"
"119","12","0","4","743","12"
"119","13","1","4","807","13"
"120","0","0","0","0","0"
"120","1","0","1","77","1"
"120","2","0","2","155","2"
"120","3","0","2","234","3"
"120","4","0","2","298","4"
"120","5","1","2","363","5"
"120","6","2","2","461","6"
"120","7","2","3","548","7"
"120","8","2","3","611","8"
"120","9","2","3","684","9"
"120","10","2","3","760","10"
"121","0","0","0","0","0"
"121","1","1","0","81","1"
"121","2","1","0","172","2"
"121","3","2","0","244","3"
"121","4","2","0","313","4"
"121","5","3","0","406","5"
"121","6","4","0","486","6"
"121","7","4","1","525","7"
"121","8","4","1","603","8"
"121","9","4","2","665","9"
"121","10","4","3","722","10"
"122","0","0","0","0","0"
"122","1","0","0","71","1"
"122","2","0","0","133","2"
"122","3","0","0","209","3"
"122","4","0","1","258","4"
"122","5","0","2","321","5"
"122","6","0","2","397","6"
"122","7","0","2","482","7"
"122","8","0","3","565","8"
"122","9","0","3","656","9"
"122","10","0","3","710","10"
"122","11","1","3","779","11"
"123","0","0","0","0","0"
"123","1","0","0","67","1"
"123","2","0","1","132","2"
"123","3","0","1","166","3"
"123","4","1","1","268","4"
"123","5","1","1","350","5"
"123","6","1","1","413","6"
"123","7","2","1","509","7"
"123","8","2","2","555","8"
"123","9","2","3","625","9"
"123","10","3","3","715","10"
"124","0","0","0","0","0"
"124","1","1","0","65","1"
"124","2","1","1","136","2"
"124","3","2","1","185","3"
"124","4","3","1","234","4"
"124","5","3","1","310","5"
"124","6","4","1","391","6"
"124","7","4","1","458","7"
"124","8","5","1","513","8"
"124","9","6","1","557","9"
"124","10","6","2","598","10"
"124","11","7","2","687","11"
"124","12","8","2","786","12"
"125","0","0","0","0","0"
"125","1","0","0","81","1"
"125","2","0","0","133","2"
"125","3","0","1","209","3"
"125","4","0","1","249","4"
"125","5","0","2","331","5"
"125","6","1","2","393","6"
"125","7","1","3","446","7"
"125","8","1","4","529","8"
"125","9","1","5","611","9"
"125","10","1","6","694","10"
"125","11","1","7","759","11"
